Код,Наименование,Биоматериал,Тип результата,Лаборатория исполнения,"Алматы, СРОК","Партнерская цена, в тенге.",Цена для клиентов на сайте checkdoc
6024АБ,"Альфа-лактальбумин (nBos d4) (f76), IgE (Alpha Lactalbumin, nBos d4 (f76), IgE)",Сыворотка крови,Кол,МСК,до 4,  3 112 ,  4 357 
6025АБ,"Казеин, молоко (nBos d8) (f78), IgE (Casein, milk, nBos d8 (f78), IgE)",Сыворотка крови,Кол,МСК,до 4,  3 112 ,  4 357 
6026АБ,"Бета-лактоглобулин, (nBos d5) (f77), IgE (Beta Lactoglobulin, nBos d5 (f77), IgE)",Сыворотка крови,Кол,МСК,до 4,  3 112 ,  4 357 
6027АБ,"Береза бородавчатая, rBet v1 (t215), IgE (Birch, Betula verrucosa, rBet v1 (t215), IgE)",Сыворотка крови,Кол,МСК,до 4,  2 952 ,  4 133 
6028АБ,"Береза бородавчатая, rBet v2 (t216), IgE (Birch, Betula verrucosa, rBet v2 (t216), IgE)",Сыворотка крови,Кол,МСК,до 4,  3 112 ,  4 357 
6029АБ,"Полынь обыкновенная, nArtv3 (w233), IgE (Mugwort, Artemisia vulgaris, nArtv3 (w233), IgE)",Сыворотка крови,Кол,МСК,до 4,  3 112 ,  4 357 
6030АБ,"Смесь аллергенов плесени (mm2), IgE (Mixed mold allergen (mm2), IgE)",Сыворотка крови,Кол,МСК,до 4,  3 112 ,  4 357 
6031АБ,"Домашняя пыль (Hollister –Stier) (h2), IgE (House dust (Hollister –Stier)(h2), IgE)",Сыворотка крови,Кол,МСК,до 4,  3 112 ,  4 357 
6032АБ,"Кошка, сывороточный альбумин, rFel d2 (e220), IgE (Cat, serum albumin, rFel d2 (e220), IgE)",Сыворотка крови,Кол,МСК,до 4,  3 112 ,  4 357 
6033АБ,"Собака, сывороточный альбумин, nCan f3 (e221), IgE (Dog, serum albumin, nCan f3 (e221), IgE)",Сыворотка крови,Кол,МСК,до 4,  2 872 ,  4 021 
6034АБ,"Бычий сывороточный альбумин, nBos d6 BSA (e204), IgE (Bovine serum albumin, nBos d6 BSA (e204), IgE)",Сыворотка крови,Кол,МСК,до 4,  2 952 ,  4 133 
6035АБ,"Овальбумин, альбумин яичный, nGal d2 (f67), IgE (Ovalbumin, egg albumin, nGal d2 (f67), IgE)",Сыворотка крови,Кол,МСК,до 4,  2 952 ,  4 133 
6036АБ,"Овомукоид яйца, nGal d1 (f68), IgE (Ovomucoid egg, nGal d1 (f68), IgE)",Сыворотка крови,Кол,МСК,до 4,  2 872 ,  4 021 
6037АБ,"Кональбумин яйца, nGal d3 (f69), IgE (Conalbumin egg, nGal d3 (f69), IgE)",Сыворотка крови,Кол,МСК,до 4,  2 872 ,  4 021 
6038АБ,"Лизоцим яйца, nGal d4 (k208), IgE (Lysozyme eggs, nGal d4 (k208), IgE)",Сыворотка крови,Кол,МСК,до 4,  2 872 ,  4 021 
6039АБ,"Соя, rGly m4 (f353), IgE (Soy, rGly m4 (f353) IgE)",Сыворотка крови,Кол,МСК,до 4,  2 872 ,  4 021 
6040АБ,"Арахиc, rAra h8 (f352), IgE (Peanut, rAra h8 (f352), IgE)",Сыворотка крови,Кол,МСК,до 4,  2 872 ,  4 021 
6041АБ,"Malassezia spp. (m227), IgE",Сыворотка крови,Кол,МСК,до 4,  2 872 ,  4 021 
6042АБ,"Смесь луговых трав (gm1), IgE (Mixed meadow grasses (gm1), IgE)",Сыворотка крови,Кол,МСК,до 4,  2 872 ,  4 021 
6043АБ,"Смесь пищевых аллергенов (fm21), IgE (Mixed food allergen (fm21), IgE)",Сыворотка крови,Кол,МСК,до 4,  2 872 ,  4 021 
6044АБ,"Яд осы пятнистой (i2), IgE (White-faced hornet (i2), IgE)",Сыворотка крови,Кол,МСК,до 4,  2 872 ,  4 021 
6045АБ,"Яд осы обыкновенной (i3), IgE (Common wasp (Yellow jacket) (i3), IgE)",Сыворотка крови,Кол,МСК,до 4,  2 872 ,  4 021 
6046АБ,"Комар (i71), IgE (Mosquito (i71), IgE)",Сыворотка крови,Кол,МСК,до 4,  2 872 ,  4 021 
6047АБ,"Яд шершня (i75), IgE (European hornet (i75), IgE)",Сыворотка крови,Кол,МСК,до 4,  2 872 ,  4 021 
6048АБ,"Пенициллин V (c2), IgE (Penicilloyl V (c2), IgE)",Сыворотка крови,Кол,МСК,до 4,  2 872 ,  4 021 
6049АБ,"Огурец (f244), IgE (Cucumber (f244), IgE)",Сыворотка крови,Кол,МСК,до 4,  2 872 ,  4 021 
6050АБ,"Авокадо (f96), IgE (Avocado (f96), IgE)",Сыворотка крови,Кол,МСК,до 4,  2 872 ,  4 021 
6051АБ,"Арбуз (f329), IgE (Watermelon (f329), IgE)",Сыворотка крови,Кол,МСК,до 4,  2 872 ,  4 021 
6052АБ,"Молоко козье (f300), IgE (Goat's milk (f300), IgE)",Сыворотка крови,Кол,МСК,до 4,  2 872 ,  4 021 
6053АБ,"Чай (f222), IgE (Tea (f222), IgE)",Сыворотка крови,Кол,МСК,до 4,  2 872 ,  4 021 
6054АБ,"Ячмень (f6), IgE (Barley (f6), IgE)",Сыворотка крови,Кол,МСК,до 4,  2 872 ,  4 021 
6055АБ,"Абрикос (f237), IgE (Apricot (f237), IgE)",Сыворотка крови,Кол,МСК,до 4,  2 872 ,  4 021 
6056АБ,"Вишня (f242), IgE (Cherry (f242), IgE)",Сыворотка крови,Кол,МСК,до 4,  2 872 ,  4 021 
6057АБ,"Малина (f111), IgE (Малина (f111), IgE)",Сыворотка крови,Кол,МСК,до 4,  2 872 ,  4 021 
6058АБ,"Мандарин (f302), IgE (Mandarin (f302), IgE)",Сыворотка крови,Кол,МСК,до 4,  2 872 ,  4 021 
6059АБ,"Баклажан (f262), IgE (Eggplant (f262), IgE)",Сыворотка крови,Кол,МСК,до 4,  3 112 ,  4 357 
6060АБ,"Брокколи (f260), IgE (Broccoli (f260), IgE)",Сыворотка крови,Кол,МСК,до 4,  3 112 ,  4 357 
6061АБ,"Чеснок (f47), IgE (Garlic (f47), IgE)",Сыворотка крови,Кол,МСК,до 4,  3 112 ,  4 357 
6062АБ,"Грибы (шампиньоны) (f212), IgE (Mushroom (champignon) (f212), IgE)",Сыворотка крови,Кол,МСК,до 4,  3 112 ,  4 357 
6063АБ,"Подсолнечник (w204), IgE (Sunflower (w204), IgE)",Сыворотка крови,Кол,МСК,до 4,  3 112 ,  4 357 
6064АБ,"Ромашка (w206), IgE (Chamomile (w206), IgE)",Сыворотка крови,Кол,МСК,до 4,  3 112 ,  4 357 
6065АБ,"Смородина красная (f322), IgE (Red currant (f322), IgE)",Сыворотка крови,Кол,МСК,до 4,  3 112 ,  4 357 
5999,Спермограмма (Исследование эякулята с оценкой морфологии по Крюгеру),,Кол. и Кач.,Алматы,1,  7 992 ,  11 189 
1570ЖК,Исследование желчных камней (Gallstones diagnosis),Желчный камень,На отдельном бланке,МСК,до 11,  18 392 ,  25 749 
520КЗХ,"Жидкостная цитология. Цитологическое исследование биоматериала шейки матки (окрашивание по Папаниколау, технология WISE -prep ®) (Liquid Based Cytology, LBC. Cervical Screening (Papanicolaou Stain (Pap Stain), Technology WISE -prep ®))",Соскоб,,Алматы,до 2,  6 070 ,  8 498 
517,"Цитологическое исследование биоматериала шейки матки (окрашивание по Папаниколау, Рар-тест) (Cytological Examination: Cervix, Pap-test)",Отделяемое половых органов; Соскоб,,Алматы, до 2,  3 192 ,  4 469 
500,"Цитологическое исследование материала, полученного при хирургических вмешательствах и других срочных исследованиях (Cytological Examination of Material Obtained during Surgical Procedures and Other Urgent Research)","Мазки, отпечатки, жидкость",,Алматы,1,  1 920 ,  2 688 
507МОЧ,Исследование мочи (Examination of Urine),Моча,,Алматы,1,  2 096 ,  2 934 
507МЖЕ,Исследование выделений из молочной железы (Examination of Breast Discharge),Отделяемое из соска,,Алматы, до 2,  2 232 ,  3 125 
507ТЭС,"Исследование транссудатов, экссудатов, секретов (Examination of Transudates, Exudates, Secrets)",Асцитическая жидкость; Пункционная жидкость,,Алматы,1,  2 790 ,  3 906 
508,Исследование мокроты (Examination of Sputum),Мокрота,,Алматы,1,  2 232 ,  3 125 
509МЖЕ,Исследование пунктатов молочной железы (Examination of Punctates: Breast),Пунктат левой молочной железы; Пунктат правой молочной железы,,Алматы, до 2,  2 620 ,  3 668 
509КОЖ,Исследование пунктатов кожи (Examination of Punctates: Skin),Пунктат кожи,,Алматы,1,  1 600 ,  2 240 
510,Исследование пунктатов других органов и тканей (Examination of Punctates: Other Organs and Tissues),Пунктат костной ткани; Пунктат лимфатического узла; Пунктат мягких тканей; Пунктат перешейка щитовидной железы; Пунктат предсталельной железы; Пунктат предстательной железы; Пунктат слюнной железы; Узел левой доли щитовидной железы; Узел правой доли щитовидной железы,,Алматы, до 2,  2 790 ,  3 906 
512,Цитологическое исследование соскоба (мазка) слизистой оболочки полости носа (одна локализация) (Cytological Examination: Scrapings (Smear) of Nasal Mucous Membrane (1 Localization)),Соскоб,,Алматы, до 3,  1 320 ,  1 848 
514,Исследование эндоскопического материала на наличие Helicobacter pylori (Examination of Endoscopic Material: Presence of Helicobacter pylori),Исследование эндоскопического материала на HELICOBACTER PYLORI,,МСК,до 4,  2 600 ,  3 640 
502,Исследование соскобов и отпечатков с поверхности кожи и слизистых (Examination of Scrapings and Prints of Skin and Mucous Membranes),Отделяемое глаза; Соскоб,,Алматы, до 2,  2 232 ,  3 125 
503,Исследование соскобов и отпечатков опухолей и опухолеподобных образований (Examination of Scrapings and Prints Tumor and Tumor Like Formations),Соскоб,,Алматы, до 2,  2 790 ,  3 906 
504ЭНД,Исследование эндоскопического материала (Examination of Endoscopic Material),Эндоскопический материал желудок; Эндоскопический материал кишечник; Эндоскопический материал пищевода,,Алматы,1,  1 600 ,  2 240 
504СБР,Исследования промывных вод бронхов (Исследование смывов с бронхов) (Examination of Bronchial Washouts),Отделяемое нижних дыхательных путей,,Алматы,1,  1 920 ,  2 688 
505,Исследование соскобов шейки матки и цервикального канала (Examination of Scrapings: Cervix and Cervical Canal ),Отделяемое половых органов; Соскоб,,Алматы, до 2,  2 232 ,  3 125 
506АСП,Исследование аспирата из полости матки (мазки) (Examination of Uterine Aspiration ),Аспират полости матки,,Алматы,1,  2 304 ,  3 226 
506ВМС,"Исследование отпечатка с внутриматочной спирали (ВМС) (Examination of Imprint Intrauterine Device, IUD)",Отпечаток с внутриматочной спирали,,Алматы,1,  1 920 ,  2 688 
5000,Консультация готовых цитологических препаратов (одно стекло) (Consultation of Finished Cytological Preparations (1 Glass)),Произвольный биоматериал,,МСК,до 4,  1 712 ,  2 397 
511,"Гистологическое исследование биопсийного материала и материала, полученного при хирургических вмешательствах (эндоскопического материала; тканей женской половой системы; кожи, мягких тканей; кроветворной и лимфоидной тканей; костно-хрящевой ткани)*",Анальная трещина; Биоптат; Материал для исследования - аспират полости матки; Произвольный биоматериал; соскоб полости матки,,Алматы,до 7,  6 072 ,  8 501 
516,"Гистохимическое исследование Helicobacter pylori (слизь) (Helicobacter pylori, Mucus, Histochemical Study)*",Исследование эндоскопического материала на HELICOBACTER PYLORI,,МСК,до 7,  14 816 ,  20 742 
5110,Консультация готовых гистологических препаратов (1 стекло + 1 блок) (Consultation of Finished Histological Preparations (1 Glass + 1 Block)),биопсия ткани; Парафиновый блок + стекло,,МСК, до 7,  7 672 ,  10 741 
5110Ф,Микрофотография гистологических препаратов,Произвольный биоматериал,,МСК,до 3,  8 120 ,  11 368 
5110КЗХ,Консультация готовых гистологических препаратов (1-3 блока) (Consultation of Finished Histological Preparations (1-3 Blocks)),Предметное стекло с окрашенным биопсийным/операционным материалом,,Алматы,до 3,  2 352 ,  3 293 
551,"Комплексная гистохимическая диагностика заболеваний верхних отделов ЖКТ (пищевода, желудка, двенадцатиперстной кишки) (Complex morphological and histochemical assessment of diseases upper digestive system)",Анальная трещина; Биоптат; Материал для исследования - аспират полости матки; Произвольный биоматериал; соскоб полости матки,Кач,МСК,до 8,  26 800 ,  37 520 
528,Гистологическое исследование биоптатов желудка (PAS-реакция),Биоптат; Материал для исследования - аспират полости матки; Произвольный биоматериал; соскоб полости матки,,МСК,до 4,  17 192 ,  24 069 
5501,"Молекулярно-генетическое исследование при меланоме (BRAF, NRAS)",биопсия ткани,Кач,МСК,до 10,  43 192 ,  60 469 
5502,"Молекулярно-генетическое исследование при GIST-опухолях (cKIT, PDGFRa)",биопсия ткани,Кач,МСК,до 10,  47 992 ,  67 189 
5503,"Молекулярно-генетическое исследование при раке желудка (MSI, HER2)",биопсия ткани,Кач,МСК,до 10,  53 592 ,  75 029 
5504,"Молекулярно-генетическое исследование при колоректальном раке (BRAF, KRAS, NRAS, MSI)",биопсия ткани,Кач,МСК,до 10,  55 112 ,  77 157 
5505,"Молекулярно-генетическое исследование при раке легкого (BRAF, KRAS, EGFR, HER2)",биопсия ткани,Кач,МСК,до 10,  61 240 ,  85 736 
5510,Молекулярно-генетическое исследование копийности генов при раке молочной железы (19 генов),биопсия ткани,Кач,МСК,до 10,  48 792 ,  68 309 
5511,"Молекулярно-генетическое исследование при раке тела матки (MSI, POLE)",биопсия ткани,Кач,МСК,до 10,  39 992 ,  55 989 
5512,"Выявление транслокаций EML4-ALK, ROS1 и мутаций в гене MET",биопсия ткани,Кач,МСК,до 10,  83 192 ,  116 469 
7020,"Молекулярное исследование рака простаты (МГИ: PTEN, RB1, TP53, BRCA1/2)",биопсия ткани,Кач,МСК,до 10,  61 240 ,  85 736 
534,Биопсийная диагностика дерматозов - морфологическое исследование биоптатов в целях диагностики заболеваний кожи (кроме новообразований) (Pathology of skin biopsyes)*,Биоптат,Кач,МСК,до 8,  9 352 ,  13 093 
524,"Гастрит, ассоциированный с Helicobacter pylori (гистологический профиль) (Helicobacter pylori Associated Gastritis)*",Биоптат,,МСК,до 7,  15 432 ,  21 605 
530FISН,"Определение HER2 статуса опухоли методом иммунофлуоресцентной гибридизации in situ (FISH) (Determination of HER2 Status of Tumor, Fluorescence In Situ Hybridization)",Парафиновый блок + стекло,,МСК,до 20,  143 992 ,  201 589 
533ИГХ,"Рак предстательной железы – комплексное иммуногистохимическое исследование с оценкой экспрессии: альфа-метилацил-КоА-рацемазы (P504S, AMACR), цитокератинов высокого молекулярного веса (34ßE12), белка p63 (Prostate cancer – complex immunomorphological examination using assessment of the expression AMACR,  high molecular weight cytokeratin (34ßE12), p63)",Парафиновый блок с биоптатом предстательной железы,,МСК,до 17,  33 032 ,  46 245 
5113ИГХ,"HER2/neu экспрессия, HER2-статус, иммуногистохимическое исследование, ИГХ (биоматериал, фиксированный в парафиновом блоке) (HER2/neu Expression, HER2 Status, Immunohistochemical Study (Fixed Biomaterial in Paraffin Block))",Молочная железа; Парафиновый блок,,МСК,до 16,  31 670 ,  44 339 
5115ИГХ,"Иммуногистохимическая диагностика хронического эндометрита – выявление плазматических клеток (CD138) (биоматериал, фиксированный в парафиновом блоке) (Chronic Endometritis, Identification of Plasma Cells CD138, Immunohistochemical Diagnosis (Fixed Biomaterial in Paraffin Block))",биопсия ткани,,МСК,до 16,  19 808 ,  27 731 
5117ИГХ,"Иммуногистохимическое исследование маркера ранней диагностики дисплазии с высокой степенью риска озлокачествления: p16INK4a (биоматериал, фиксированный в парафиновом блоке) (Early Diagnosis Marker of Dysplasia with High Risk Malignancy: p16INK4a, Immunohistochemical Study (Fixed Biomaterial in Paraffin Block))",биопсия ткани; Молочная железа; Произвольный биоматериал,,МСК,до 16,  36 272 ,  50 781 
5118ИГХ,"Иммуногистохимическое (ИГХ) исследование: диагностика лимфопролиферативных заболеваний (биоматериал, заключенный в парафиновый блок) (Immunohistochemical diagnosis of lymphoproliferative diseases (Tissue Embedded in Paraffin Block))",Произвольный биоматериал,,МСК,до 19,  273 152 ,  382 413 
5120ИГХ,"Иммуногистохимическое (ИГХ) исследование: диагностика гистогенеза метастазов при неустановленном первичном очаге (спектр маркеров для выявления тканевой принадлежности) (биоматериал, заключенный в парафиновый блок) (Immunohistochemical diagnosis in cancer metastasis of unknown primary origin  (Tissue Embedded  in Paraffin Block))",Произвольный биоматериал,,МСК,до 19,  273 152 ,  382 413 
РШМ-Б,"Иммуногистохимический скрининг рака шейки матки – исследование двух маркеров для ранней диагностики дисплазии с высокой степенью риска озлокачествления: p16INK4a + Ki-67 (биоматериал, фиксированный в парафиновом блоке) (Cervical Cancer – Study of Two Markers for Early Diagnosis Dysplasia with High Risk Malignancy: p16INK4a + Ki-67, Immunohistochemical Screening (Fixed Biomaterial in Paraffin Block))",биопсия ткани; Молочная железа; Произвольный биоматериал,,МСК,до 8,  63 856 ,  89 398 
РМЖ-Б,"Рак молочной железы – комплексный иммуногистохимический профиль (биоматериал, фиксированный в парафиновом блоке) (Breast Cancer, Immunohistochemistry, IHC (Paraffin-Embedded Tissue Block))",Аспират полости матки; Молочная железа; Пайпель - биоптат слизистой тела матки; Парафиновый блок; Произвольный биоматериал,,МСК,до 8,  57 592 ,  80 629 
5251,"Рецепторы к эстрогенам и прогестерону, иммуногистохимическое исследование (биоматериал, фиксированный в парафиновом блоке) (Estrogen and Progesterone Receptors, Immunohistochemical Study (Fixed Biomaterial in Paraffin Block))",Аспират полости матки; Молочная железа; Пайпель - биоптат слизистой тела матки,,МСК,до 8,  18 174 ,  25 444 
5222ИГХ,"Ki-67 (MIB-1) экспрессия, иммуногистохимическое исследование: оценка пролиферативной активности по экспрессии Ki-67 (биоматериал, фиксированный в парафиновом блоке) (Ki-67 (MIB-1) Expression, Assessment of Proliferative Activity by Expression Ki-67, Immunohistochemical Study (Fixed Biomaterial in Paraffin Block))",Молочная железа; Произвольный биоматериал,,МСК,до 16,  14 294 ,  20 012 
536,"Дифференциальная диагностика меланомы, иммуногистохимическое (ИГХ) исследование, оценка экспрессии S-100, Melan A (MART-1), HMB-45, SOX-10 (IHC verification of malignant melanoma using assessment of the expression S-100, Melan A (MART-1), HMB-45, SOX-10)",Биоптат,Кач,МСК,до 19,  193 808 ,  271 331 
537,Иммуногистохимическое исследование (1 маркер): уточняющее ИГХ-исследование с использованием 1 антитела (маркера),биопсия ткани; Парафиновый блок,,МСК,до 8,  21 104 ,  29 546 
549,Определение экспрессии белка PD-L1 в ткани опухоли методом ИГХ c использованием антител к PD-L1 клон SP263 (Ventana).  (PD-L1 expression in tumor tissue by IHC using PD-L1 clone SP263 (Ventana) antibodies).,биопсия ткани,,МСК,до 14,  95 992 ,  134 389 
550,Определение экспрессии белка PD-L1 в ткани опухоли методом ИГХ c использованием антител к PD-L1 клон SP142 (Ventana).  (PD-L1 expression in tumor tissue by IHC using PD-L1 clone SP142 (Ventana) antibodies).,биопсия ткани,,МСК,до 14,  95 992 ,  134 389 
554,Определение экспрессии белка PD-L1 в ткани опухоли методом ИГХ с использованием антител к PD-L1 клон 22С3 (Dako). (PD-L1 expression in tumor tissue by IHC using PD-L1 clone 22C3 (Dako) antibodies).,биопсия ткани,,МСК,до 14,  201 352 ,  281 893 
535,"Дифференциальная диагностика меланомы, иммуногистохимическое (ИГХ) исследование, оценка экспрессии S-100, Melan A (MART-1), HMB-45, SOX-10 (IHC verification of malignant melanoma using assessment of the expression S-100, Melan A (MART-1), HMB-45, SOX-10)*",Биоптат,,МСК,до 19,  159 992 ,  223 989 
7811,Исследование кариотипа (количественные и структурные аномалии хромосом) (Karyotype),Цельная кровь,Описание результата врачом - цитогенетиком,МСК,до 18,  69 048 ,  96 667 
7811KZ1-CA,Исследование кариотипа (количественные и структурные аномалии хромосом) (Karyotype),Плазма крови,кол.,Внешнее исполнение КЗХ, до 7,  17 500 ,  24 500 
777729,"Исследование хромосом в абортивном материале, скрининг",биопсия ткани,Кач,МСК,до 10,  47 992 ,  67 189 
777750,"Исследование хромосом в абортивном материале, расширенное",биопсия ткани,Кач,МСК,до 14,  110 392 ,  154 549 
777795,ХМА абортного материала,Абортный материал,,МСК,до 15,  99 992 ,  139 989 
777774TQQ,"Анализ всех специфических аберраций на парафиновых срезах (гистоFISH, колич.) (Analysis of all specific aberrations on paraffin slides (FISH Histology, quantitative))",Парафиновые срезы,Кол,МСК,до 11,  68 851 ,  96 391 
777790TQ,"Анализ транслокации t(11;14)(q13;q32) на парафиновых срезах (гистоFISH, колич.) (Analysis of translocation t(11;14)(q13;q32) on paraffin slides (FISH Histology, quantitative))",Парафиновые срезы,Кол,МСК,до 9,  57 888 ,  81 043 
777771BCL,"Анализ перестроек гена  BCL- 6 (der(3)(q27)) на парафиновых срезах (ГистоFISH, колич.) (Analysis of BCL- 6 gene rearrangements (der(3)(q27)) on paraffin slides (FISH Histology, quantitative))",Парафиновые срезы,Кол,МСК,до 11,  68 851 ,  96 391 
777772TPQ,"Анализ транслокации t(2;5)(p23;q35) на парафиновых срезах (гистоFISH, колич.) (Analysis of translocation t(2;5)(p23;q35) on paraffin slides (FISH Histology, quantitative))",Парафиновые срезы,Кол,МСК,до 11,  63 442 ,  88 819 
777773BCL2,"Анализ перестроек BCL2 гена на парафиновых срезах (гистоFISH, колич.) (Analysis of BCL2 gene rearrangements on paraffin slides (FISH Histology, quantitative))",Парафиновые срезы,Кол,МСК,до 11,  68 851 ,  96 391 
548,Определение экспрессии PDL1,биопсия ткани,Кач,МСК,до 9,  43 192 ,  60 469 
562,"Определение мутаций в 18,19.20, 21 экзонах гена EGFR",биопсия ткани,Кач,МСК,до 12,  57 592 ,  80 629 
569,"Определение мутаций во 2,3,4 экзоне гена KRAS",биопсия ткани,Кач,МСК,до 9,  39 992 ,  55 989 
777722,Мутации в гене POLE,биопсия ткани,Кач,МСК,до 9,  39 992 ,  55 989 
777723,Мутации в гене IDH2,биопсия ткани,Кач,МСК,до 10,  55 992 ,  78 389 
777724,Мутации в гене IDH1,биопсия ткани,Кач,МСК,до 10,  55 992 ,  78 389 
777725,Мутация PIK3CA,биопсия ткани,Кач,МСК,до 10,  55 992 ,  78 389 
777726,Определение транслокации 1р/19q,биопсия ткани,Кач,МСК,до 10,  53 592 ,  75 029 
777727,Определение метилирования гена MGMT,биопсия ткани,Кач,МСК,до 10,  55 992 ,  78 389 
777728,Определение абераций С228Т и С250Т в гене TERT,биопсия ткани,Кач,МСК,до 9,  39 992 ,  55 989 
777730,Мутации в гене MET,биопсия ткани,Кач,МСК,до 9,  58 392 ,  81 749 
560,"Определение распространенных мутаций генов  BRCA1,BRCA2 при раке молочной железы и яичников в биопсийном материале",биопсия ткани,Кач,МСК,до 9,  47 992 ,  67 189 
574,Определение микросателлитной нестабильности (MSI),биопсия ткани,Кач,МСК,до 9,  19 992 ,  27 989 
565,Определение мутаций в 15 экзоне гена BRAF,биопсия ткани,Кач,МСК,до 9,  27 992 ,  39 189 
571,"Определение мутаций во 2,3,4 экзоне гена NRAS",биопсия ткани,Кач,МСК,до 9,  39 992 ,  55 989 
568,Определение мутаций гена PDGFRa,биопсия ткани,Кач,МСК,до 12,  79 992 ,  111 989 
576,Определение мутаций гена сKIT,биопсия ткани,Кач,МСК,до 12,  67 192 ,  94 069 
563,Определение гиперэкспрессии гена HER2 (копийность гена),биопсия ткани,Кач,МСК,до 9,  67 192 ,  94 069 
577,Определение перестроек гена ALK,биопсия ткани,Кач,МСК,до 9,  46 392 ,  64 949 
578,Определение перестроек гена ROS1,биопсия ткани,Кач,МСК,до 9,  46 392 ,  64 949 
582,"Молекулярно-генетическое исследование операционного материала щитовидной железы для определения мутаций генов KRAS, NRAS, HRAS, BRAF, TERT (Molecular genetic study of thyroid surgical material to determine  mutations of KRAS, NRAS, HRAS, BRAF, TERT genes)",Парафиновый блок + стекло,,МСК,до 10,  60 792 ,  85 109 
583,Консультативный просмотр и молекулярно-генетическое исследование щитовидной железы.,биопсия ткани; Парафиновый блок + стекло,,МСК,до 14,  63 992 ,  89 589 
110ГП,"Подготовка к операции (гены MTHFR, MTRR, MTR, F2, F5) (Preparation for Surgery (Genes MTHFR, MTRR, MTR, F2, F5))",Цельная кровь,Описание результата врачом - генетиком,МСК,до 13,  30 480 ,  42 672 
110ГП/БЗ,"Подготовка к операции (гены MTHFR, MTRR, MTR, F2, F5) (без описания результатов врачом-генетиком) (Preparation for Surgery (Genes MTHFR, MTRR, MTR, F2, F5) (without Description))",Цельная кровь,Кач,МСК,до 10,  27 320 ,  38 248 
118ГП,"Опасность при приeме оральных контрацептивов (гены F2, F5) (Risk of Oral Contraceptives, Ocs (Genes F2, F5))",Цельная кровь,Описание результата врачом - генетиком,МСК,до 13,  5 120 ,  7 168 
118ГП/БЗ,"Опасность при приeме оральных контрацептивов (гены F2, F5) (без описания результатов врачом-генетиком) (Risk of Oral Contraceptives, OCs (Genes F2, F5) (without Description))",Цельная кровь,Кач,МСК,до 10,  10 496 ,  14 694 
7252AZFI,"Нарушения сперматогенеза, 6 маркёров (микроделеции локуса AZF) (Spermatogenesis disorders (6 AZF))",Цельная кровь,Описание результата врачом - генетиком,МСК,до 16,  13 112 ,  18 357 
7252БЗ,"Нарушения сперматогенеза, 6 маркёров (микроделеции локуса AZF) (без описания результатов генетиком)",Цельная кровь,Кач,МСК,до 13,  9 752 ,  13 653 
137ГП,"Возникновение изолированных пороков развития у плода (гены MTHFR, MTRR, MTR) (Isolated Malformations in Fetus (Genes MTHFR, MTRR, MTR))",Цельная кровь,Описание результата врачом - генетиком,МСК,до 13,  20 080 ,  28 112 
137ГП/БЗ,"Возникновение изолированных пороков развития у плода (гены MTHFR, MTRR, MTR) (без описания результатов врачом-генетиком) (Isolated Malformations in Fetus (Genes MTHFR, MTRR, MTR) (without Description))",Цельная кровь,Кач,МСК,до 10,  18 000 ,  25 200 
141ГП,"Тромботические осложнения при стимуляции овуляции (гены F2, F5) (Thrombotic Complications of Ovulation Induction (Genes F2, F5))",Цельная кровь,Описание результата врачом - генетиком,МСК,до 13,  5 120 ,  7 168 
141ГП/БЗ,"Тромботические осложнения при стимуляции овуляции (гены F2, F5) (без описания результатов врачом-генетиком) (Thrombotic Complications of Ovulation Induction (Genes F2, F5) (without Description))",Цельная кровь,Кач,МСК,до 10,  9 320 ,  13 048 
7802CYI,"Врожденная гиперплазия надпочечников, ген CYP21A2, ч.м. (Gene CYP21OHB, Freq. Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 22,  51 992 ,  72 789 
120ГП,"Обмен фолиевой кислоты (гены MTHFR, MTRR, MTR) (Folic Acid Metabolism (Genes MTHFR, MTRR, MTR))",Цельная кровь,Описание результата врачом - генетиком,МСК,до 13,  12 412 ,  17 377 
120ГП/БЗ,"Обмен фолиевой кислоты (гены MTHFR, MTRR, MTR) (без описания результатов врачом-генетиком) (Folic Acid Metabolism (Genes MTHFR, MTRR, MTR) (without Description))",Цельная кровь,Кач,МСК,до 10,  16 792 ,  23 509 
124ГП,"Наследственные случаи рака молочной железы и/или яичников (гены BRCA1, BRCA2) (Hereditary Breast and/or Ovarian Cancer, HBOC (Genes BRCA1, BRCA2))",Цельная кровь,Описание результата врачом - генетиком,МСК,до 13,  9 992 ,  13 989 
108ГП,"Хочу стать мамой: осложнения беременности (гены F2, F5, MTHFR, MTRR, MTR, ACE, AGT, RHD) (Want to Become a Mother: Pregnancy Complications (Genes F2, F5, MTHFR, MTRR, MTR, ACE, AGT, RHD))",Цельная кровь,Описание результата врачом - генетиком,МСК,до 20,  247 280 ,  346 192 
124ГП/БЗ,"Наследственные случаи рака молочной железы и/или яичников (гены BRCA1, BRCA2) (без описания результатов врачом-генетиком) (Hereditary Breast and/or Ovarian Cancer, HBOC (Genes BRCA1, BRCA2) (without Description))",Цельная кровь,Кач,МСК,до 8,  18 392 ,  25 749 
1244ГП,"Наследственные случаи рака молочной железы и/или яичников BRCA1, BRCA2, CHEK2, NBS1 (Hereditary Breast and/or Ovarian Cancer )",Цельная кровь,Описание результата врачом - генетиком,МСК,до 13,  44 792 ,  62 709 
