Код,Наименование,Цена,Цена со скидкой,Сроки выполнения
09-128,"Панель пищевых аллергенов №2: треска, тунец, креветки, лосось, мидии","5,9",4130,2-4
09-131,"Панель пищевых аллергенов №5: яичный белок, молоко, треска, пшеничная мука, арахис, соевые бобы","5,9",4130,2-4
09-142,"Панель пищевых аллергенов №7: яичный белок, рис, коровье молоко, арахис, пшеничная мука, соевые бобы","5,9",4130,2-4
09-125,"Панель пищевых аллергенов №1: арахис, миндаль, фундук, кокос, бразильский орех","5,9",4130,2-4
09-126,"Панель пищевых аллергенов №13: зелёный горошек, белые бобы, морковь, картофель","6,4",4480,2-4
09-127,"Панель пищевых аллергенов №15: апельсин, банан, яблоко, персик","5,9",4130,2-4
09-122,"Панель аллергенов дом.животных №1: эпителий кошки, перхоть лошади, перхоть коровы, перхоть собаки","10,15",7105,2-4
09-168,"Панель аллергенов птиц №71: гусиные, куриные, утиные перья и перья индюка","10,15",7105,2-4
09-145,"Панель аллергенов деревьев №7: маслина, ива, сосна белая, эвкалипт, акация, чайное дерево","5,9",4130,2-4
09-146,"Панель аллергенов плесени №1: Penicillinum notatum, Cladosporium herbarum, Aspergilius fumigatus, Candida albicans, Alternaria tenuis","5,9",4130,2-4
09-159,"Панель ингаляционных аллергенов №10: маслина европейская, клён белый, кипарис, подорожник, постенница","5,9",4130,2-4
09-158,"Панель ингаляционных аллергенов: ежа сборная, тимофеевка луговая, кедр японский, амброзия обыкновенная, полынь.","5,9",5015,7-9
09-121,Панель клещевых аллергенов №1 (клещ домашней пыли): D.pteronyssinus; D.farinae; D. microceras; L.destructor; T.putrescentiae; G.Omesticus; E.Maynei; B.tropicalis,"5,9",4130,2-4
09-151,"Панель аллергенов трав №2: бермудская трава (свинорой), рожь многолетняя, тимофеевка луговая, мятлик луговой, джонсонова трава (сорго алепское), гречка заметная","5,9",4130,2-4
09-152,"Панель аллергенов трав №4: душистый колосок, рожь многолетняя, тростник обыкновенный, рожь культивируемая, бухарник шертистый","5,9",4130,2-4
09-143,"Панель пищевых аллергенов №73: свинина, курица, говядина, баранина/ягнятина","5,9",4130,2-4
09-130,"Панель пищевых аллергенов №3: пшеничная, овсяная, кукурузная мука, семена кунжута, гречневая мука","5,9",4130,2-4
,МЕДИЦИНСКАЯ ГЕНЕТИКА,,,
08-074,"Выявление мутации в гене рецептора витамина D, ген VDR (Остеопороз)","9,5",8075,10-11
11-039,"Ген гистосовместимости HLA-B27, ПЦР","22,4",19040,8-10
18-099,Антиоксидантная система SOD2 (генетический анализ),"19,9",16915,14-15
10-617,Артериальная гипертензия (генетический анализ),"40,3",34255,14-15
18-111,Бета-адреноблокаторы. Ген CYP2D6. Фармакогенетика,"57,5",48875,30-32
18-008,Болезнь Коновалова-Вильсона (генетическая диагностика),"33,7",28645,16-18
10-620,"Вредные привычки (курение, алкоголь, наркозависимость)(генетический анализ)","19,9",16915,14-15
18-007,Гемохроматоз І тип,"24,5",20825,10-11
18-026,Выявление мутации в гене фактора свертываемости V (F5). Генетический маркер F5_G1691А (мутация Лейден),"7,15",6080,4-6
18-001,Ген интерлейкин -IL-28 B. Определение полиморфизма,"13,2",11220,8-10
18-035,Выявление мутации в гене метилентетрагидрофолатредуктазы MTHFR. Генетический маркер MTHFR_C677T,"7,15",6080,4-6
18-138,Выявление мутации в гене метилентетрагидрофолатредуктазы MTHFR. Генетический маркер MTHFR_A1298C,"7,15",6080,4-5-2006
18-034,Выявление мутации в гене метионин-синтаза-редуктазы MTRR. Генетический маркер MTRR_A66G,"7,15",6080,4-6
18-133,Выявление мутации в гене метионинсинтетазы MTR. Генетический маркер MTR_A2756G,"7,15",6080,4-6
18-013,Ген нейросенсорной несиндромальной тугоухости,23,19550,14-15
18-023,Ген предрасположенности к развитию рака молочной железы и яичников (BRCA1/2),"33,15",28180,14-15
18-024,Выявление мутации в гене протромбина (F2). Генетический маркер F2_G20210А,"7,15",6080,4-6
18-021,Риск развития сахарного диабета 2 типа и ожирения. Базовый,"28,8",24480,17-18
18-030,Выявление мутации в гене альфа-2 интегрина (ITGA2). Генетический маркер ITGA2_C807T,"7,15",6080,4-6
18-031,Выявление мутации в гене бета-3 интегрина (ITGB3). Генетический маркер ITGB3_T1565C,"7,15",5005,4-6
18-029,Выявление мутации в гене бета-полипептида фибриногена FGB. Генетический маркер FGB_G(-455)A,"7,15",5005,4-6
18-028,Выявление мутации в гене А-субъединицы фактора свертываемости XIII (F13). Генетический маркер F13_G103T,"7,15",5005,9-10
18-086,Генетика в косметологии (20 генов),"111,8",95030,22-23
18-022,Генетический идентификационный паспорт (аутосомная ДНК)(инф),"57,5",48875,10-12
18-100,Гликирование (генетический анализ),"28,8",24480,14-15
18-113,Диагностика MODY2 диабета. Ген GCK,138,117300,20-22
18-114,Диагностика MODY3 диабета. Ген HNK-1 (HNF1A),138,117300,20-22
18-101,Диагностика орфанных заболеваний в крови методом ТМС,"55,2",46920,35-37
18-151,Диагностика фронтотемпоральной деменции и бокового амиотрофического склероза (С9orf72),21,17850,14-15
18-102,Лекарственный мониторинг орфанных заболеваний методом ТМС,"65,6",55760,35-37
09-330,Лабораторные исследования по НАО (наследственнный ангионевротический отек),"363,4",308890,29-31
18-019,Ишемическая болезнь сердца (ИБС) и инфаркт миокарда (генетический анализ),"28,8",24480,18-19
10-610,"Меланома кожи, рак щитовидной железы, легких, яичников, толстой кишки (BRAF)","19,9",16915,14-15
10-618,Метаболизм глютена. Диагностика целиакии (типирование HLA DQ2/DQ8),49,41650,13-15
18-087,Метаболизм лактозы,"24,5",20825,14-15
10-619,Метаболизм кофеина (генетический анализ),"19,9",16915,14-15
10-611,Метаболизм витамина A (нутригенетический анализ),"19,9",16915,14-15
10-613,Метаболизм витамина C (нутригенетический анализ),"19,9",16915,14-15
10-614,Метаболизм витамина Д (VDR+GS) (нутригенетический анализ),"24,5",20825,14-15
18-141,"Миелопролиферативные заболевания (JAK2), качественный","21,2",18020,14-15
18-162,Муковисцидоз ген CFTR (13 мутации),"41,65",35405,17-18
18-090,Мужское и женское бесплодие,"40,3",34255,14-15
18-091,"Мужское бесплодие (гипогонадотропный гипогонадизм, семейные формы)","28,8",24480,14-15
18-174,Преимплантационное генетическое тестирование PGT-A,100,85000,15-17
18-093,Невынашивание беременности (генетический анализ),"85,75",72890,14-15
18-083,Нутригенетика (50 генов),"143,8",122230,15-16
10-615,Окислительный стресс (генетический анализ),"80,5",68425,14-15
18-109,Определение активности хитотриозидазы,"100,6",85510,22-24
10-311,"Определение мутаций гена BRAF из биоптата опухолевой ткани, ПЦР","126,5",107525,19-20
10-312,"Определение мутаций гена EGFR из биоптата опухолевой ткани, ПЦР","166,8",141780,19-20
18-161,Определение мутаций гена SMN 1/2 при спинальной мышечной атрофии,"59,8",50830,14-15
10-607,Определение мутаций гена KRAS из биоптата опухолевой ткани методом ПЦР,"66,6",56610,17-19
18-089,Определение происхождения (митотип) по Mитохондриальной-ДНК,"109,9",93415,15-17
10-616,Остеопороз COL1А1+VDR (генетический анализ),"28,8",24480,14-15
18-108,Полный анализ гена GAA (болезнь Помпе),"531,9",452115,72-74
18-003,Полноэкзомное секвенирование ДНК человека для диагностики наследственных болезней,690,586500,30-32
18-163,"Проведение HLA-типирования (HLA) II класса: DRB1, DQA1, DQB1","79,4",67490,14-15
18-076,Предрасположенность к болезни Альцгеймера Базовый,"22,6",19210,14-15
18-097,"Предрасположенность к развитию рака молочной железы и яичников (7 мутаций в генах BRCA1,2 и CHEK2)","50,3",42755,15-17
18-136,"Генетический профиль ""Наследственный рак молочной железы и яичников""",150,127500,33-35
18-075,"Предрасположенность к развитию рака предстательной железы (7 мутаций в генах BRCA1,2 и CHEK2)","47,2",40120,15-17
18-268,"Генетическая предрасположенность к тромбофилии (Панель из 2 генетических маркеров: F2_G20210А, F5_G1691А)","12,8",10880,4-6
18-271,"Генетический риск тромбозов. Панель из 4 генетических маркеров: F2_G20210А, F5_G1691А, MTHFR_C677T, MTHFR_A1298C. (ПЦР)","24,5",20825,4-6
18-270,"Предрасположенность к ранней привычной невынашиваемости беремености, ассоциированной с повышенной свертываемостью крови (Панель из 4 генетических маркеров: F2_G20210А, F5_G1691А, MTHFR_C677T, MTHFR_A1298C)",23,16100,9-10
18-020,"Предрасположенность к ранней привычной невынашиваемости беремености ассоциированной с повышенной свертываемостью крови (Расширенная панель из 6 генетических маркеров: F2_G20210А, F5_G1691А, MTHFR_C677T, MTHFR_A1298C, MTRR_A66G, MTR_A2756G)","35,15",24605,4-6
18-036,"Генетическая предрасположенность к тромбофилии (Расширенная панель из 12 генетических маркеров: F2_G20210А, F5_G1691А, MTHFR_C677T, PAI-675 5G/4G, FGB_G(-455)A, F13_G103T, F7_G10976A, ITGB3_T1565C, ITGA2_C807T, MTRR_A66G, MTR_A2756G, MTHFR_A1298C)",63,44100,4-6
18-038,"Предрасположенность к тромбофилии связанная с нарушением фолатного цикла для акушеров-гинекологов (Панель из 4 генетических маркеров: MTHFR_C677T, MTHFR_A1298C, MTRR_A66G, MTR_A2756G)","24,5",17150,4-5
18-037,"Генетический риск тромбозов (Расширенная панель из 10 генетических маркеров: F2_G20210А, F5_G1691А, MTHFR_C677T, MTHFR_A1298C, PAI-675 5G/4G, FGB_G(-455)A, F13_G103T, F7_G10976A, ITGB3_T1565C, ITGA2_C807T)","56,45",47985,4-6
18-143,"Генетические факторы риска приема гормональных контрацептивов (Панель из 2 генетических маркеров: F2_G20210А, F5_G1691А)","12,8",10880,4-6
18-094,Преэклампсия (генетический анализ),"42,95",36510,14-15
18-055,Спорт (52 генов),115,97750,15-17
18-078,Риск развития возрастной дегенерации сетчатки (2 гена),46,39100,8-10
18-009,Синдром Жильбера (генетическая диагностика),"14,1",11985,11-12
05-048,Синдром Криглера Найяра (Исследование мутаций в гене UGT1),"135,2",114920,26-28
05-049,Определение пола плода. Выявление Y- хромосомы плода в крови матери (идентификация гена SRY),"42,9",36465,8-10
18-098,Склонность к воспалениям (генетический анализ),"19,9",16915,14-15
18-103,Скрининг-тест на лизосомные болезни накопления (ЛБН) методом ТМС,"97,8",83130,35-40
18-056,Таланты (40 генов),138,117300,15-16
18-006,Установление микроделеций Y-хромосомы,"52,95",45010,40-41
18-084,"Умственное, эмоциональное и физическое здоровье (73 гена)","195,5",166175,15-19
18-096,Уязвимость к фотостарению и склонность к пигментации кожи (генетический анализ),"40,3",34255,14-15
18-011,Фенилкетонурия (мутация гена PAH),"22,7",19295,15-17
18-081,Фитнес (26 генов),"145,4",123590,19-20
18-082,Физическое здоровье (50 генов),161,136850,15-19
10-612,"Предрасположенность к тромбофилии связанная с нарушением фолатного цикла (Расширенная панель из 6 генетических маркеров в генах MTR, MTRR, MTHFR, NBPF3, FUT2)","69,9",59415,14-15
08-293,"ФИШ-метод (FISH). Молекулярно-цитогенетическое исследование с использованием ДНК-зондов лимфоцитов в перифической крови. Определение анеуплоидий по 21,13,18, Х и У","97,8",83130,15-16
21-008 пакет,"Тест на измену (Сравнение генетических профилей)(инф, 2 стандартных образца+дополнительный нестандартный образец)","195,8",176220,16
18-095,"Эластичность, ген ELN","19,9",16915,14-15
18-118,Неинвазивный пренатальный скрининг (НИПТ) NIFTY (12 синдромов),165,140250,15-16
18-169,Скрининг на наследственные заболевания STANDARD,55,46750,13-15
18-170,Скрининг на наследственные заболевания PREMIUM,"122,5",104125,35-37
18-175,Скрининг-тест на 13 частых мутаций мтДНК методом MLPA,60,51000,25-27
18-171,"Миелопролиферативные заболевания (JAK2), количественный","22,9",19465,15-17
18-172,Хромосомный микроматричный анализ STANDARD,"133,15",113180,35-37
18-173,Хромосомный микроматричный анализ экзонного уровня,250,212500,35-37
16-105 пакет,"Подтверждение мутации, выявленной при NGS секвенированием по Сэнгеру у ТРИО","115,3",103770,35-37
18-167,"Подтверждение мутации, выявленной при NGS секвенированием по Сэнгеру",55,46750,35-37
18-115,Болезнь Фабри (ген GLA) (секвенирование по Сэнгеру),50,42500,15-17
18-116,Псориаз. Генотипирование HLA-Cw6,"26,65",22655,15-17
18-137,Расширенная неврологическая панель,235,199750,63-65
18-059,Нестандартный дополнительный образец абортивный материал для ДНК экспертизы (досудебное/судебное),69,58650,14-16
18-060,Нестандартный дополнительный образец кость для ДНК экспертизы (досудебное/судебное),69,58650,14-16
18-061,"Нестандартный дополнительный образец (волосы, ногти, мышца и др.) (досудебное/судебное)",69,58650,14-16
18-062,Нестандартный дополнительный образец абортивный материал для ДНК экспертизы (информативное),"86,3",73355,15-17
18-063,Нестандартный дополнительный образец кость для ДНК экспертизы (информативное),"63,3",53805,15-17
18-064,Нестандартный дополнительный образец в пятне (сперма) для ДНК экспертизы (досудебное/судебное),69,58650,14-16
18-071,"Нестандартный дополнительный образец (волосы, ногти, мышца и др.) (информативное)","63,3",53805,16-18
18-074,Нестандартный дополнительный образец в пятне (сперма) для ДНК экспертизы (информативное),115,97750,16-18
18-041,Родство.Дополнительный образец стандартный (информативное),"33,15",28180,15-17
18-058,Родство. Дополнительный образец стандартный (досудебное/судебное),45,38250,14-16
18-067,Родство. Вероятный отец/мать (информативное)(стандарт/нестандарт),"33,15",28180,15-17
18-168,Участник генетического исследования-2,55,46750,13-15
,МИКРОБИОЛОГИЧЕСКИЕ ИССЛЕДОВАНИЯ,,,
Посев на микрофлору и грибы рода Candida с определением чувств. к антибиотикам и противогрибковым препаратам,,,,
12-001,Бак. посев мокроты на микрофлору и грибы рода Candida с определением чувствительности к антибиотикам,"7,35",6250,7-9
12-002,Бак. посев отделяемого из носа на микрофлору и грибы рода Candida с определением чувствительности к антибиотикам,"7,35",6250,6-8
12-004,Бак. посев отделяемого из полости рта на микрофлору и грибы рода Candida с определением чувствительности к антибиотикам,"7,35",5145,6-8
12-037,Бак.посев отделяемого из зева на микрофлору и грибы рода Candida с определением чувствительности к антибиотикам,"7,35",5145,7-9
12-006,Бак.посев отделяемого из правого уха на микрофлору и грибы рода Candida с определением чувствительности к антибиотикам,"7,35",5145,5-7
12-106,Бак.посев отделяемого из левого уха на микрофлору и грибы рода Candida с определением чувствительности к антибиотикам,"7,35",5145,5-7
12-012,*Бак. посев грудного молока из правой груди на микрофлору и грибы рода Candida с определением чувствительности к антибиотикам,"7,35",5145,5-7
12-112,*Бак. посев грудного молока из левой груди на микрофлору и грибы рода Candida с определением чувствительности к антибиотикам,"7,35",5145,4-6
12-007,Бак.посев отделяемого из цервикального канала на микрофлору и грибы рода Candida с определением чувствительности к антибиотикам,"7,35",5145,5-7
12-046,Бак.посев отделяемого из пародонтального кармана на микрофлору и грибы рода Candida с определением чувствительности к антибиотикам,"7,35",5145,6-8
12-131,Бак.посев вагинального содержимого на микрофлору и грибы рода Candida с определением чувствительности к антибиотикам,"7,35",5145,4-6
Посев на микрофлору с определением чувствительности к антибиотикам,,,,
12-003,Бак. посев отделяемого раневой поверхности на микрофлору с определением чувствительности к антибиотикам,"4,9",3430,4-6
12-005,Бак. посев отделяемого из коньюнктивы правого глаза на микрофлору с определением чувствительности к антибиотикам,"4,9",3430,4-6
12-105,Бак. посев отделяемого из конъюнктивы левого глаза на микрофлору с определением чувствительности к антибиотикам,"4,9",3430,5-7
12-011,Бак. посев мочи на микрофлору с определением чувствительности к антибиотикам,"4,9",3430,4-6
12-024,*Бак. посев спермы на микрофлору с определением чувствительности к антибиотикам,"4,9",3430,5-7
12-025,Бак.посев отделяемого из уретры на микрофлору с определением чувствительности к антибиотикам,"4,9",3430,5-7
12-035,Бак. посев сока простаты на микрофлору с определением чувствительности к антибиотикам,"4,9",3430,5-7
12-036,*Бак. посев желчи на патогенную (сальмонеллез) и условно-патогенную микрофлору с определением чувствительности к антибиотикам,"8,75",6125,4-6
12-039,Бак. посев плевральной жидкости на микрофлору с определением чувствительности к антибиотикам,"8,75",6125,4-6
12-040,Бак. посев синовиальной жидкости на микрофлору с определением чувствительности к антибиотикам,"8,75",6125,4-6
12-041,Бак. посев содержимого гайморовых пазух носа на микрофлору с определением чувствительности к антибиотикам,"8,75",6125,6-8
12-999,Бак.посев ликвора на микрофлору с определением чувствительности к антибиотикам,"8,75",6125,5-7
Посев на грибы рода Candida с определения чувствительности к противогрибковым препаратам,,,,
12-032,Бак. посев мокроты на грибы рода Candida с определением чувствительности к противогрибковым препаратам,"4,9",3430,3-5
12-031,Бак.посев отделяемого из носа на грибы рода Candida с определением чувствительности к противогрибковым препаратам,"4,9",3430,4-6
12-135,Бак.посев отделяемого из зева на грибы рода Candida с определением чувствительности к противогрибковым препаратам,"4,9",3430,4-6
12-028,Бак. посев отделяемого из полости рта на грибы рода Candida с определением чувствительности к противогрибковым препаратам,"4,9",3430,4-6
12-026,Бак.посев отделяемого из цервикального канала на грибы рода Candida с определением чувствительности к противогрибковым препаратам,"4,9",3430,4-6
12-132,Бак. посев вагинального содержимого на грибы рода Candida с определением чувствительности к противогрибковым препаратам,"4,9",3430,4-6
12-027,Бак.посев отделяемого из уретры на грибы рода Candida с определением чувствительности к противогрибковым препаратам,"4,9",3430,4-6
12-029,Бак. посев отделяемого раневой поверхности на грибы рода Candida с определением чувствительности к противогрибковым препаратам,"4,9",3430,4-6
12-030,Бак.посев отделяемого из правого уха на грибы рода Candida с определением чувствительности к противогрибковым препаратам,"4,9",3430,4-6
12-130,Бак.посев отделяемого из левого уха на грибы рода Candida с определением чувствительности к противогрибковым препаратам,"4,9",3430,4-6
12-043,Бак.посев отделяемого из конъюнктивы правого глаза на грибы рода Candida с определением чувствительности к противогрибковым препаратам,"4,9",3430,4-6
12-044,Бак.посев отделяемого из конъюнктивы левого глаза на грибы рода Candida с определением чувствительности к противогрибковым препаратам,"4,9",3430,4-6
12-176,Бак. посев мочи на грибы рода Candida с определением чувствительности к противогрибковым препаратам,"4,9",3430,4-6
Посев на золотистый стафилококк с определением чувствительности к антибиотикам,,,,
12-021,Бак.посев отделяемого из носа на золотистый стафилококк (St. aureus) с определением чувствительности к антибиотикам,"4,9",3430,4-6
12-020,Бак.посев отделяемого из зева на золотистый стафилококк (St. aureus) с определением чувствительности к антибиотикам,"4,9",3430,4-6
12-018,Бак. посев мочи на золотистый стафилококк (St. aureus) с определением чувствительности к антибиотикам,"4,9",3430,4-6
12-019,Бак. посев кала на золотистый стафилококк (St. aureus) с определением чувствительности к антибиотикам,"4,9",3430,4-6
12-022,Бак.посев отделяемого из цервикального канала на золотистый стафилококк (St. aureus) с определением чувствительности к антибиотикам,"4,9",3430,4-6
12-134,Бак. посев вагинального содержимого на золотистый стафилококк (St. aureus) с определением чувствительности к антибиотикам,"4,9",3430,4-6
12-047,Бак.посев отделяемого из уретры на золотистый стафилококк (St. aureus) с определением чувствительности к антибиотикам,"4,9",3430,3-6
Прочие посевы,,,,
12-191,Бак.посев кала на патогенную и условно- патогенную микрофлору ручным методом (без выделение чистой культуры),"6,4",4480,5-7
12-192,Бак.посев мокроты ручным методом (без выделения чистой культуры),"4,5",3150,4-6
12-009,"Бак.посев отделяемого из зева,носа, раны, конъюнктивы глаз, ушей, цервикального канала, вагинального содержимого,грудного молока, мокроты, мочи, желчи ручным методом (без выделения чистой культуры)","3,45",2415,4-6
12-014,Бак.посев биологического материала на грибы рода Candida (выделение чистой культуры),"4,4",3080,3-5
12-048,Бак. посев мокроты (выделение чистой культуры),"5,9",4130,5-7
12-049,Бак. посев отделяемого из зева (выделение чистой культуры),"4,6",3220,3-5
12-050,Бак. посев отделяемого носа (выделение чистой культуры),"4,9",3430,3-5
12-051,Бак. посев отделяемого из раны (выделение чистой культуры),"4,7",3290,3-5
12-052,Бак. посев отделяемого из коньюнктивы левого глаза (выделение чистой культуры),"4,2",2940,3-5
12-053,Бак. посев отделяемого из коньюнктивы правого глаза (выделение чистой культуры),"4,2",2940,3-5
12-054,Бак. посев отделяемого из полости рта (выделение чистой культуры),"4,9",3430,3-5
12-055,Бак. посев отделяемого из левого уха (выделение чистой культуры),"4,6",3220,3-5
12-056,Бак. посев отделяемого из правого уха (выделение чистой культуры),"4,6",3220,3-5
12-057,Бак. посев отделяемого из цервикального канала (выделение чистой культуры),"4,6",3220,3-5
12-058,Бак. посев мочи (выделение чистой культуры),"4,6",3220,3-5
12-059,Бак. посев грудного молока из левой груди (выделение чистой культуры),"4,9",3430,3-5
12-060,Бак. посев грудного молока из правой груди (выделение чистой культуры),"4,9",3430,3-5
12-061,Бак. посев вагинального содержимого (выделение чистой культуры),"4,6",3220,3-5
12-062,Бак. посев отделяемого из левого уха на грибы рода Candida (выделение чистой культуры),"4,6",3220,3-5
12-063,Бак. посев отделяемого из правого уха на грибы рода Candida (выделение чистой культуры),"4,6",3220,3-5
12-064,Бак. посев вагинального содержимого на грибы рода Candida (выделение чистой культуры),"4,6",3220,3-5
12-065,Бак. посев отделяемого из цервикального канала на грибы рода Candida (выделение чистой культуры),"4,6",3220,3-5
12-066,Бак. посев отделяемого из зева на грибы рода Candida (выделение чистой культуры),"4,6",3220,3-5
12-067,Бак. посев отделяемого из носа на грибы рода Candida (выделение чистой культуры),"4,6",3220,3-5
12-068,Бак. посев отделяемого полости рта на грибы рода Candida (выделение чистой культуры),"4,6",3220,3-5
12-069,Бак. посев мокроты на грибы рода Candida (выделение чистой культуры),"4,6",3220,3-5
12-070,Бак. посев отделяемого из уретры на грибы рода Candida (выделение чистой культуры),"4,6",3220,3-5
12-071,Бак. посев отделяемого из раны на грибы рода Candida (выделение чистой культуры),"4,6",3220,3-5
12-072,Бак. посев мочи на золотистый стафилококк (St. aureus) (выделение чистой культуры),"4,6",3220,3-5
12-073,Бак. посев вагинального содержимого на золотистый стафилококк (St. aureus) (выделение чистой культуры),"4,6",3220,3-5
12-074,Бак. посев отделяемого из уретры на золотистый стафилококк (St. aureus) (выделение чистой культуры),"4,6",3220,3-5
12-075,Бак. посев отделяемого из зева на золотистый стафилококк (St. aureus) (выделение чистой культуры),"4,6",3220,3-5
12-076,Бак. посев отделяемого из носа на золотистый стафилококк (St. aureus) (выделение чистой культуры),"3,95",2765,3-5
12-077,Бак. посев кала на золотистый стафилококк (St. aureus) (выделение чистой культуры),"4,6",3220,3-5
12-078,Бак. посев отделяемого цервикального канала на золотистый стафилококк (St. aureus) (выделение чистой культуры),"4,6",3220,3-5
12-079,Бак. посев спермы (выделение чистой культуры),"4,6",3220,3-5
12-080,Бак. посев отделяемого из уретры (выделение чистой культуры),"4,6",3220,3-5
12-081,Бак. посев сока простаты (выделение чистой культуры),"4,6",3220,3-5
12-082,Бак. посев отделяемого коньюнктивы левого глаза на грибы рода Candida (выделение чистой культуры),"4,6",3220,3-5
12-083,Бак. посев отделяемого коньюнктивы правого глаза на грибы рода Candida (выделение чистой культуры),"4,6",3220,3-5
12-084,Бак. посев ликвора (выделение чистой культуры),"4,6",3220,3-5
12-085,Бак. посев отделяемого парадотального кармана (выделение чистой культуры),"4,6",3220,3-5
12-087,Бак. посев желчи (выделение чистой культуры),"4,6",3220,3-5
12-088,Бак. посев плевральной жидкости (выделение чистой культуры),"4,6",3220,3-5
12-089,Бак. посев синовиальной жидкости (выделение чистой культуры),"4,6",3220,3-5
12-090,Определение чувствительности к противомикробным препаратам выделенных культур ручным методом,"4,5",3150,7-9
12-091,"Бак. посев транссудата, экссудата на стерильность ручным методом (выделение чистой культуры)","4,5",3150,3-5
12-092,Бак. посев отделяемого из зева и носа на золотистый стафилококк (St. aureus) (выделение чистой культуры),"3,35",2345,3-5
12-093,"Бак.посев отделяемого из зева, носа, раны, коньюнктивы глаз, ушей, цервикального канала, вагинального содержимого,грудного молока, мокроты, мочи, желчи (выделение чистой культуры)","7,35",5145,5-7
12-094,"Бак. посев кала на определение возбудителей кишечной группы (диз.группа, сальмонеллез) без определения чувствительности к антибиотикам","7,35",5145,5-7
12-137,Бак.посев из носа на золотистый стафилококк (St. aureus) (выделение чистой культуры),"4,6",3220,3-5
12-183,Бак.посев грудного молока (без выделения чистой культуры),"4,5",3150,3-5
12-187,Бак. посев носоглоточной слизи на Neisseria meningitis (нейссерия менингитис) (выделение чистой культуры) ручным методом,"9,2",6440,4-6
12-188,Бак.посев отделяемого носа и зева на дифтерию ручным методом (выделение чистой культуры),"9,2",6440,5-7
12-189,Бак.посев аутопсийного материала ручным методом,"4,5",3150,4-6
12-190,Бак.посев кала на патогенную и условно- патогенную микрофлору ручным методом (выделение чистой культуры),"7,8",5460,4-6
12-196,Бак.посев мочи на сальмонеллез ручным методом (выделение чистой культуры),"4,7",3290,3-5
12-203,Бак.посев желчи на сальмонеллез на анализаторе,"3,5",2450,4-6
12-205,Бак.посев крови на сальмонеллез,"3,5",2450,7-9
12-206,Бак.посев смывов из бронхов (выделение чистой культуры),"4,5",3150,4-6
12-207,Бак.посев крови на сальмонеллез ручным методом (выделение чистой культуры),"4,5",3150,7-9
12-209,Бак.посев крови на стерильность ручным методом (выделение чистой культуры),"4,5",3150,7-9
12-210,Бак.посев мочи на сальмонеллез ручным методом (без выделения чистой культуры),"4,5",3150,3-5
12-214,Бак.посев желчи на сальмонеллез ручным методом (без выделения чистой культуры),"4,5",3150,3-5
12-216,Бактериологическое исследование биологического материала на анаэробы ручным методом (выделение чистой культуры),"4,5",3825,7-9
12-198,Бак.посев кала на Клостридии (Clostridium difficile),"7,7",5390,4-6
12-199,Бак.посев отделяемого половых органов на Стрептококк группы В (Streptococcus agalactiae),"4,9",3430,4-6
12-218,Бак.посев кала на кампилобактер (Campylobacter spp.) с определением чувствительности к антибиотикам,"22,2",15540,4-6
12-219,Бак.посев кала на кампиллобактер (Campylobacter spp.),"17,1",11970,3-5
12-023,"Бак. посев крови на стерильность, гемокультуру (тифы, паратифы) с определением чувствительности к антибиотикам","5,05",3535,7-9
12-017,"Бак. посев кала на возбудителей кишечной группы (диз.группа, сальмонеллез) с определением чувствительности к антибиотикам","8,75",7440,5-7
12-008,Бак. посев кала на дисбактериоз кишечника с определением чувствительности к антибиотикам,"8,75",7440,6-8
12-204,Бак.посев кала на энтеропатогенные эшерихии,"4,7",3995,10-11
12-015,Листериоз. Бак. посев мочи на листерии,"4,4",3080,6-8
12-133,Листериоз. Бак.посев вагинального содержимого на листерии,"4,4",3080,6-8
12-033,Листериоз. Бак.посев мазка из зева на листерии,"4,4",3080,5-7
12-034,Листериоз. Бак.посев мазка из цервикального канала на листерии,"4,4",3080,5-7
12-221,Листериоз. Бак.посев аутопсийного материала на листериоз,"5,8",4060,5-7
12-016,"Иерсиниоз. Бак. посев кала на иерсинии (Y.enterocolitica,Y.pseudotuberculosis) с определением чувствительности к антибиотикам.","4,4",3080,8-10
10-515,Определение микробиоценоза. ХМС по Осипову,"44,85",38125,8-10
,КОМПЛЕКСНЫЕ ИССЛЕДОВАНИЯ,,,
15-006,Будущая мама. Оптима,"57,45",51705,2-4
,"ОАК+СОЭ, АЛТ, АСТ, билирубин об., антитела к ВПГ 1/2, краснухе, токсоплазмозу, хламидиям, ЦМВ, гепатиты В и С, глюкоза, железо, когаулограмма расширенная, группа крови+РФ, ОАМ, мочевина, об.белок",,,
15-206,Будущая мама. Планирование беременности,"75,7",68130,3-5
,"Определение группы крови ABO, резус фактор; Гепатит С (anti-HCV); Гепатит В (HBs Ag); Хламидии (C.trachomatis); Токсоплазма (Т.gondi); Краснуха (Rubella virus); ЦМВ (Цитомегаловирус);ВПГ (Herpes Simplex Virus ½); ОАК; ОАМ; АЛТ; АСТ; Белок общий в сыворотке; Мочевина в сыворотке; Билирубин общий; Железо в сыворотке; Глюкоза в сыворотке.",,,3-5
15-010,"Патология беременности, невынашивание","70,9",63810,3-5
